VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,airport_fee
1,2023-02-26 16:15:14,2023-02-26 16:42:14,2,1.3,1,Y,113,261,1,19.25,0,0.5,2.89,0,0.3,22.94,0,0
2,2023-08-28 22:44:50,2023-08-28 23:31:50,3,6.71,1,Y,230,87,1,42.78,0,0.5,6.42,6.2,0.3,56.2,0,0
1,2023-12-04 02:31:20,2023-12-04 03:19:20,1,3.85,2,N,48,229,1,36.13,0,0.5,5.42,0,0.3,46.1,2.5,1.25
2,2023-06-13 09:07:37,2023-06-13 09:25:37,2,2.46,1,N,120,142,1,17.65,0,0.5,2.65,0,0.3,21.1,0,0
2,2023-09-02 21:40:42,2023-09-02 22:28:42,2,6.83,1,N,68,42,1,43.58,0.5,0.5,6.54,0,0.3,53.92,2.5,0
2,2023-01-08 19:32:12,2023-01-08 20:13:12,3,4.01,1,N,42,164,1,33.03,0,0.5,4.95,0,0.3,41.28,2.5,0
2,2023-02-20 13:47:28,2023-02-20 13:55:28,4,7.84,1,N,41,261,1,26.1,0,0.5,3.92,0,0.3,33.32,2.5,0
2,2023-08-05 08:40:07,2023-08-05 09:22:07,2,6.13,1,N,42,152,1,38.83,0,0.5,5.82,0,0.3,47.95,2.5,0
1,2023-09-10 14:33:05,2023-09-10 14:44:05,4,0.65,1,Y,13,114,1,9.63,0,0.5,1.44,0,0.3,14.37,2.5,0
2,2023-10-19 00:01:23,2023-10-19 00:31:23,4,8.98,1,N,232,79,1,39.95,0,0.5,5.99,0,0.3,46.74,0,0
1,2023-07-23 08:07:20,2023-07-23 08:40:20,2,10.52,1,N,238,107,2,45.3,0,0.5,0,0,0.3,46.1,0,0
2,2023-04-21 17:43:01,2023-04-21 18:11:01,1,12.58,1,N,164,43,1,47.95,0,0.5,7.19,0,0.3,55.94,0,0
1,2023-09-04 03:20:42,2023-09-04 03:38:42,4,5.51,1,N,230,120,1,25.28,1,0.5,3.79,0,0.3,30.87,0,0
2,2023-03-25 13:41:11,2023-03-25 14:08:11,1,11.69,1,N,263,87,1,45.22,0,0.5,6.78,0,0.3,52.8,0,0
2,2023-12-17 11:21:55,2023-12-17 11:49:55,3,2.64,1,N,87,163,1,23.1,1,0.5,3.47,0,0.3,30.87,2.5,0
1,2023-03-21 20:28:13,2023-03-21 21:14:13,1,3.76,1,N,142,128,1,34.9,0,0.5,5.24,0,0.3,40.94,0,0
1,2023-10-16 07:35:37,2023-10-16 07:40:37,3,13.25,1,N,24,234,2,38.13,0,0.5,0,0,0.3,41.43,2.5,0
2,2023-07-14 07:09:55,2023-07-14 07:24:55,3,15.2,1,N,162,153,1,48,0,0.5,7.2,0,0.3,56,0,0
2,2023-10-05 15:51:00,2023-10-05 16:04:00,2,1.27,1,Y,142,231,1,12.18,0,0.5,1.83,0,0.3,14.81,0,0
1,2023-10-23 10:08:08,2023-10-23 10:36:08,1,3.24,1,N,125,194,1,24.6,0,0.5,3.69,0,0.3,29.09,0,0
2,2023-12-10 22:15:46,2023-12-10 22:36:46,2,1.12,1,N,153,261,1,15.8,0,0.5,2.37,0,0.3,18.97,0,0
2,2023-03-28 13:07:27,2023-03-28 13:25:27,3,1.75,1,N,230,68,1,15.88,0,0.5,2.38,0,0.3,19.06,0,0
2,2023-01-01 09:16:00,2023-01-01 09:48:00,3,6.57,1,N,45,141,1,34.92,0.5,0.5,5.24,0,0.3,43.96,2.5,0
2,2023-08-05 16:45:02,2023-08-05 17:23:02,3,3.22,1,N,137,103,1,29.55,0,0.5,4.43,3.48,0.3,38.26,0,0
2,2023-05-24 03:26:09,2023-05-24 03:44:09,4,5.38,1,N,13,140,1,24.95,1,0.5,3.74,0,0.3,32.99,2.5,0
2,2023-12-07 23:07:43,2023-12-07 23:42:43,1,5.59,1,N,125,263,1,33.98,0,0.5,5.1,0,0.3,39.88,0,0
1,2023-02-19 07:31:54,2023-02-19 07:36:54,4,1.81,2,N,50,42,2,9.53,0,0.5,0,0,0.3,14.08,2.5,1.25
2,2023-06-21 02:55:42,2023-06-21 03:27:42,3,2.05,1,N,148,236,1,23.63,0,0.5,3.54,0,0.3,27.97,0,0
2,2023-03-14 01:09:20,2023-03-14 01:38:20,1,5.53,1,N,234,246,1,30.83,0.5,0.5,4.62,0,0.3,36.75,0,0
1,2023-10-24 17:03:23,2023-10-24 17:48:23,2,14.92,1,N,90,244,1,62.3,0,0.5,9.34,0,0.3,74.94,2.5,0
2,2023-03-05 12:12:57,2023-03-05 12:23:57,4,3.22,1,N,186,249,1,16.05,0,0.5,2.41,0,0.3,19.26,0,0
1,2023-10-20 01:57:44,2023-10-20 02:34:44,2,9.89,2,Y,144,239,2,45.73,0,0.5,0,0,0.3,47.78,0,1.25
2,2023-12-06 12:42:43,2023-12-06 13:19:43,3,7.63,3,N,151,237,1,40.08,0,0.5,6.01,0,0.3,46.89,0,0
1,2023-08-03 02:24:51,2023-08-03 02:34:51,2,4.8,1,Y,45,107,1,19.5,0.5,0.5,2.93,0,0.3,26.23,2.5,0
2,2023-04-09 17:08:54,2023-04-09 17:53:54,1,8.8,2,N,68,234,1,47,0,0.5,7.05,0,0.3,58.6,2.5,1.25
2,2023-02-26 07:35:13,2023-02-26 08:12:13,4,9.95,1,Y,43,232,1,45.88,0.5,0.5,6.88,0,0.3,56.56,2.5,0
2,2023-03-10 02:07:46,2023-03-10 02:50:46,4,10.01,1,N,162,151,1,49.03,0,0.5,7.35,0,0.3,57.18,0,0
1,2023-07-05 15:17:57,2023-07-05 15:44:57,2,14.03,3,N,43,246,2,51.08,0,0.5,0,0,0.3,54.38,2.5,0
1,2023-03-03 19:56:49,2023-03-03 20:23:49,4,1.62,1,Y,243,113,1,20.05,0,0.5,3.01,0,0.3,23.86,0,0
2,2023-01-22 13:23:13,2023-01-22 13:34:13,3,5.28,1,N,75,45,1,21.2,1,0.5,3.18,2.33,0.3,31.01,2.5,0
2,2023-06-04 13:19:36,2023-06-04 13:28:36,1,2.2,1,N,166,103,1,12.5,0,0.5,1.88,0,0.3,15.18,0,0
1,2023-08-09 19:59:08,2023-08-09 20:11:08,4,10.39,1,N,163,229,1,34.48,0.5,0.5,5.17,5.95,0.3,46.9,0,0
2,2023-10-03 21:54:45,2023-10-03 22:20:45,2,10.74,1,N,153,88,1,42.35,1,0.5,6.35,3.46,0.3,53.96,0,0
